date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind,hs_code
2023-01-01,CAN,W00,1.5484412459561177,9424730.0,14593640.664,9424730.0,kg,8,4,9424730.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,14593640.664,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,9424730.0,0,World,W00,0,World,W00,202301,14593640.664,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,BEL,6.581302149333625,219696.0,1445885.757,219696.0,kg,8,4,219696.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,1445885.757,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,219696.0,0,World,W00,56,Belgium,BEL,202301,1445885.757,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,CAN,0.383030981667726,80241.0,30734.789,80241.0,kg,8,4,80241.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,30734.789,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,80241.0,0,World,W00,124,Canada,CAN,202301,30734.789,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,CHN,1.2267289412242548,1487076.0,1824239.167,1487076.0,kg,8,4,1487076.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,1824239.167,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1487076.0,0,World,W00,156,China,CHN,202301,1824239.167,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,FIN,9.327872790458985,333214.0,3108177.804,333214.0,kg,8,4,333214.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,3108177.804,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,333214.0,0,World,W00,246,Finland,FIN,202301,3108177.804,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,DEU,0.9549167113135101,223980.0,213882.245,223980.0,kg,8,4,223980.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,213882.245,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,223980.0,0,World,W00,276,Germany,DEU,202301,213882.245,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,IRL,2.776818181818182,11.0,30.545,11.0,kg,8,4,11.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,30.545,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,11.0,0,World,W00,372,Ireland,IRL,202301,30.545,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,ITA,1.847767207816058,27226.0,50307.31,27226.0,kg,8,4,27226.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,50307.31,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,27226.0,0,World,W00,380,Italy,ITA,202301,50307.31,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,JPN,17.538815953558373,13953.0,244719.099,13953.0,kg,8,4,13953.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,244719.099,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,13953.0,0,World,W00,392,Japan,JPN,202301,244719.099,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
2023-01-01,CAN,MYS,2.5226182075175374,19102.0,48187.053,19102.0,kg,8,4,19102.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,48187.053,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,19102.0,0,World,W00,458,Malaysia,MYS,202301,48187.053,kg,8,1,20230101,2023,124,Canada,CAN,C,import,2833
