date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,CHN,BEL,11.608695652173912,23.0,267.0,23.0,kg,8,4,23.0,kg,8,267.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,23.0,0,World,W00,56,Belgium,BEL,202301,267.0,kg,8,1,20230101,2023,156,China,CHN,C,import
2023-01-01,CHN,DEU,11.618625277161863,451.0,5240.0,451.0,kg,8,4,451.0,kg,8,5240.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,451.0,0,World,W00,276,Germany,DEU,202301,5240.0,kg,8,1,20230101,2023,156,China,CHN,C,import
2023-01-01,CHN,JPN,0.012036020919562023,7699970.0,92677.0,7699970.0,kg,8,4,7699970.0,kg,8,92677.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,7699970.0,0,World,W00,392,Japan,JPN,202301,92677.0,kg,8,1,20230101,2023,156,China,CHN,C,import
2023-01-01,CHN,KOR,0.016796466970750015,48977800.0,822654.0,48977800.0,kg,8,4,48977800.0,kg,8,822654.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,48977800.0,0,World,W00,410,Rep. of Korea,KOR,202301,822654.0,kg,8,1,20230101,2023,156,China,CHN,C,import
2023-01-01,CHN,S19,0.8986859716781058,1636190.0,1470421.0,1636190.0,kg,8,4,1636190.0,kg,8,1470421.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1636190.0,0,World,W00,490,"Other Asia, nes",S19,202301,1470421.0,kg,8,1,20230101,2023,156,China,CHN,C,import
2023-01-01,CHN,USA,47.285714285714285,14.0,662.0,14.0,kg,8,4,14.0,kg,8,662.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,14.0,0,World,W00,842,USA,USA,202301,662.0,kg,8,1,20230101,2023,156,China,CHN,C,import
2023-02-01,CHN,W00,0.06946113954533036,17682333.0,1228235.0,17682333.0,kg,8,4,17682333.0,kg,8,1228235.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,17682333.0,0,World,W00,0,World,W00,202302,1228235.0,kg,8,2,20230201,2023,156,China,CHN,C,import
2023-02-01,CHN,KOR,0.02700264994633404,16490900.0,445298.0,16490900.0,kg,8,4,16490900.0,kg,8,445298.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,16490900.0,0,World,W00,410,Rep. of Korea,KOR,202302,445298.0,kg,8,2,20230201,2023,156,China,CHN,C,import
2023-02-01,CHN,S19,0.6543614020950846,1191360.0,779580.0,1191360.0,kg,8,4,1191360.0,kg,8,779580.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1191360.0,0,World,W00,490,"Other Asia, nes",S19,202302,779580.0,kg,8,2,20230201,2023,156,China,CHN,C,import
2023-02-01,CHN,USA,45.986301369863014,73.0,3357.0,73.0,kg,8,4,73.0,kg,8,3357.0,H6,HS,2807,Sulphuric acid; oleum,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,73.0,0,World,W00,842,USA,USA,202302,3357.0,kg,8,2,20230201,2023,156,China,CHN,C,import
