date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,CHN,W00,0.7471506963209312,4811000.0,3594542.0,4811000.0,kg,8,6,4811000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,3594542.0,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,4811000.0,0,World,W00,0,World,W00,202301,3594542.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,BRA,0.953,160000.0,152480.0,160000.0,kg,8,6,160000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,152480.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,160000.0,0,World,W00,76,Brazil,BRA,202301,152480.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,GTM,0.789,150000.0,118350.0,150000.0,kg,8,6,150000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,118350.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,150000.0,0,World,W00,320,Guatemala,GTM,202301,118350.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,JPN,0.9595,240000.0,230280.0,240000.0,kg,8,6,240000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,230280.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,240000.0,0,World,W00,392,Japan,JPN,202301,230280.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,KOR,1.117,40000.0,44680.0,40000.0,kg,8,6,40000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,44680.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,40000.0,0,World,W00,410,Rep. of Korea,KOR,202301,44680.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,MYS,1.144074074074074,27000.0,30890.0,27000.0,kg,8,6,27000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,30890.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,27000.0,0,World,W00,458,Malaysia,MYS,202301,30890.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,MEX,0.7204545454545455,3300000.0,2377500.0,3300000.0,kg,8,6,3300000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,2377500.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,3300000.0,0,World,W00,484,Mexico,MEX,202301,2377500.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,SAU,0.37,144000.0,53280.0,144000.0,kg,8,6,144000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,53280.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,144000.0,0,World,W00,682,Saudi Arabia,SAU,202301,53280.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,IND,0.78,550000.0,429000.0,550000.0,kg,8,6,550000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,429000.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,550000.0,0,World,W00,699,India,IND,202301,429000.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-01-01,CHN,ZAF,0.79041,200000.0,158082.0,200000.0,kg,8,6,200000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,158082.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,200000.0,0,World,W00,710,South Africa,ZAF,202301,158082.0,kg,8,1,20230101,2023,156,China,CHN,C,export
2023-02-01,CHN,W00,0.8792795220275884,7274060.0,6395932.0,7274060.0,kg,8,6,7274060.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,6395932.0,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,7274060.0,0,World,W00,0,World,W00,202302,6395932.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,CHL,0.752292817679558,724000.0,544660.0,724000.0,kg,8,6,724000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,544660.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,724000.0,0,World,W00,152,Chile,CHL,202302,544660.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,COL,0.8916695254431104,349800.0,311906.0,349800.0,kg,8,6,349800.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,311906.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,349800.0,0,World,W00,170,Colombia,COL,202302,311906.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,GTM,0.77,200000.0,154000.0,200000.0,kg,8,6,200000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,154000.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,200000.0,0,World,W00,320,Guatemala,GTM,202302,154000.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,JPN,1.0065960230245945,3822000.0,3847210.0,3822000.0,kg,8,6,3822000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,3847210.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,3822000.0,0,World,W00,392,Japan,JPN,202302,3847210.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,MEX,0.7019685039370078,254000.0,178300.0,254000.0,kg,8,6,254000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,178300.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,254000.0,0,World,W00,484,Mexico,MEX,202302,178300.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,PER,0.6934092634776006,1646250.0,1141525.0,1646250.0,kg,8,6,1646250.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,1141525.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,1646250.0,0,World,W00,604,Peru,PER,202302,1141525.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,IND,5.3,10.0,53.0,10.0,kg,8,6,10.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,53.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,10.0,0,World,W00,699,India,IND,202302,53.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,ZAF,0.7054573643410853,258000.0,182008.0,258000.0,kg,8,6,258000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,182008.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,258000.0,0,World,W00,710,South Africa,ZAF,202302,182008.0,kg,8,2,20230201,2023,156,China,CHN,C,export
2023-02-01,CHN,USA,1.8135,20000.0,36270.0,20000.0,kg,8,6,20000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,36270.0,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,20000.0,0,World,W00,842,USA,USA,202302,36270.0,kg,8,2,20230201,2023,156,China,CHN,C,export
