date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,DEU,W00,0.22898163420553563,101100299.342,23150111.762,101100299.342,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,23150111.762,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,101100299.342,0,World,W00,0,World,W00,202301,23150111.762,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,DZA,0.4137988194444444,72000.0,29793.515,72000.0,kg,8,4,72000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,29793.515,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,72000.0,0,World,W00,12,Algeria,DZA,202301,29793.515,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,ARG,2.9741665767915335,11933.223,35491.393,11933.223,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,35491.393,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,11933.223,0,World,W00,32,Argentina,ARG,202301,35491.393,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,AUS,0.5410351256180526,294894.199,159548.12,294894.199,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,159548.12,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,294894.199,0,World,W00,36,Australia,AUS,202301,159548.12,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,AUT,0.6223480312398307,1204616.0,749690.396,1204616.0,kg,8,4,1204616.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,749690.396,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1204616.0,0,World,W00,40,Austria,AUT,202301,749690.396,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BGD,3.5023998465487525,28100.13,98417.891,28100.13,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,98417.891,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,28100.13,0,World,W00,50,Bangladesh,BGD,202301,98417.891,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BEL,0.29041042449697274,14775364.567,4290919.896,14775364.567,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,4290919.896,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,14775364.567,0,World,W00,56,Belgium,BEL,202301,4290919.896,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BOL,18.23192,100.0,1823.192,100.0,kg,8,4,100.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1823.192,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,100.0,0,World,W00,68,Bolivia (Plurinational State of),BOL,202301,1823.192,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BIH,0.10886726356088278,455.022,49.537,455.022,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,49.537,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,455.022,0,World,W00,70,Bosnia Herzegovina,BIH,202301,49.537,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BRA,1.4224650473801685,224461.0,319287.927,224461.0,kg,8,4,224461.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,319287.927,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,224461.0,0,World,W00,76,Brazil,BRA,202301,319287.927,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BGR,2.38979322528612,39057.0,93338.154,39057.0,kg,8,4,39057.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,93338.154,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,39057.0,0,World,W00,100,Bulgaria,BGR,202301,93338.154,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,BLR,45.64004761904762,21.0,958.441,21.0,kg,8,4,21.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,958.441,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,21.0,0,World,W00,112,Belarus,BLR,202301,958.441,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,CAN,0.6203385475841874,170750.0,105922.807,170750.0,kg,8,4,170750.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,105922.807,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,170750.0,0,World,W00,124,Canada,CAN,202301,105922.807,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,CHL,5.16851843575419,1790.0,9251.648,1790.0,kg,8,4,1790.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,9251.648,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1790.0,0,World,W00,152,Chile,CHL,202301,9251.648,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,CHN,3.0171843946401045,8433.0,25443.916,8433.0,kg,8,4,8433.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,25443.916,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,8433.0,0,World,W00,156,China,CHN,202301,25443.916,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,COL,0.44411921597465776,106068.0,47106.837,106068.0,kg,8,4,106068.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,47106.837,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,106068.0,0,World,W00,170,Colombia,COL,202301,47106.837,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,COG,0.3499925,78000.0,27299.415,78000.0,kg,8,4,78000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,27299.415,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,78000.0,0,World,W00,178,Congo,COG,202301,27299.415,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,HRV,0.4828911069698099,67075.0,32389.921,67075.0,kg,8,4,67075.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,32389.921,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,67075.0,0,World,W00,191,Croatia,HRV,202301,32389.921,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,CYP,0.2592971800433839,1383.0,358.608,1383.0,kg,8,4,1383.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,358.608,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1383.0,0,World,W00,196,Cyprus,CYP,202301,358.608,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,CZE,0.5842270894161837,1191475.061,696092.007,1191475.061,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,696092.007,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,1191475.061,0,World,W00,203,Czechia,CZE,202301,696092.007,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,DNK,0.5256464338611363,619802.0,325796.711,619802.0,kg,8,4,619802.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,325796.711,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,619802.0,0,World,W00,208,Denmark,DNK,202301,325796.711,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,DOM,0.4775151126927639,21075.0,10063.631,21075.0,kg,8,4,21075.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,10063.631,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,21075.0,0,World,W00,214,Dominican Rep.,DOM,202301,10063.631,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,ECU,0.5142242068401119,105086.0,54037.765,105086.0,kg,8,4,105086.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,54037.765,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,105086.0,0,World,W00,218,Ecuador,ECU,202301,54037.765,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,ETH,0.42768390228212383,8953.94,3829.456,8953.94,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3829.456,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,8953.94,0,World,W00,231,Ethiopia,ETH,202301,3829.456,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,EST,0.46293493589743595,71760.0,33220.211,71760.0,kg,8,4,71760.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,33220.211,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,71760.0,0,World,W00,233,Estonia,EST,202301,33220.211,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,FIN,0.5173824965111359,1649534.0,853440.019,1649534.0,kg,8,4,1649534.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,853440.019,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1649534.0,0,World,W00,246,Finland,FIN,202301,853440.019,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,FRA,0.4979089420385666,5669356.0,2822823.048,5669356.0,kg,8,4,5669356.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2822823.048,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5669356.0,0,World,W00,251,France,FRA,202301,2822823.048,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,GRC,0.4359166115878446,241410.089,105234.668,241410.089,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,105234.668,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,241410.089,0,World,W00,300,Greece,GRC,202301,105234.668,kg,8,1,20230101,2023,276,Germany,DEU,C,export
2023-01-01,DEU,GTM,0.6228826291079812,1065.0,663.37,1065.0,kg,8,4,1065.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,663.37,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1065.0,0,World,W00,320,Guatemala,GTM,202301,663.37,kg,8,1,20230101,2023,276,Germany,DEU,C,export
