date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,FRA,W00,0.32604898746497446,9464466.027,3085879.565,9464466.027,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3085879.565,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,9464466.027,0,World,W00,0,World,W00,202301,3085879.565,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,DZA,1.6062966539037788,6007.0,9649.024,6007.0,kg,8,4,6007.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,9649.024,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,6007.0,0,World,W00,12,Algeria,DZA,202301,9649.024,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,ARG,19.715538461538465,26.0,512.604,26.0,kg,8,4,26.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,512.604,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,26.0,0,World,W00,32,Argentina,ARG,202301,512.604,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,AUS,94.76719999999999,25.0,2369.18,25.0,kg,8,4,25.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2369.18,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,25.0,0,World,W00,36,Australia,AUS,202301,2369.18,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,AUT,0.08572744503411675,2638.0,226.149,2638.0,kg,8,4,2638.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,226.149,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2638.0,0,World,W00,40,Austria,AUT,202301,226.149,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,BEL,0.7838233807967799,184844.0,144885.049,184844.0,kg,8,4,184844.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,144885.049,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,184844.0,0,World,W00,56,Belgium,BEL,202301,144885.049,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,BRA,0.15158340047649987,1038825.0,157468.626,1038825.0,kg,8,4,1038825.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,157468.626,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1038825.0,0,World,W00,76,Brazil,BRA,202301,157468.626,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,BDI,67.8445,2.0,135.689,2.0,kg,8,4,2.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,135.689,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2.0,0,World,W00,108,Burundi,BDI,202301,135.689,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,COL,5.48842075,4000.0,21953.683,4000.0,kg,8,4,4000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,21953.683,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,4000.0,0,World,W00,170,Colombia,COL,202301,21953.683,kg,8,1,20230101,2023,251,France,FRA,C,export
2023-01-01,FRA,COG,3.689116004036901,140.702,519.066,140.702,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,519.066,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,140.702,0,World,W00,178,Congo,COG,202301,519.066,kg,8,1,20230101,2023,251,France,FRA,C,export
