date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,GBR,W00,1.1416911619694439,649036.0,740998.665,649036.0,kg,8,4,649036.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,740998.665,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,649036.0,0,World,W00,0,World,W00,202301,740998.665,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,DZA,5.0082554391619665,1241.0,6215.245,1241.0,kg,8,4,1241.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,6215.245,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1241.0,0,World,W00,12,Algeria,DZA,202301,6215.245,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,BGR,1.607162208504801,2916.0,4686.485,2916.0,kg,8,4,2916.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,4686.485,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2916.0,0,World,W00,100,Bulgaria,BGR,202301,4686.485,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,CHN,1.8397007142857145,22400.0,41209.296,22400.0,kg,8,4,22400.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,41209.296,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,22400.0,0,World,W00,156,China,CHN,202301,41209.296,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,DNK,1.2487626962528784,47770.0,59653.394,47770.0,kg,8,4,47770.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,59653.394,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,47770.0,0,World,W00,208,Denmark,DNK,202301,59653.394,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,FLK,2.2580028157683025,4972.0,11226.79,4972.0,kg,8,4,4972.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,11226.79,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,4972.0,0,World,W00,238,Falkland Isds (Malvinas),FLK,202301,11226.79,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,DEU,1.0512309655840155,102249.0,107487.315,102249.0,kg,8,4,102249.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,107487.315,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,102249.0,0,World,W00,276,Germany,DEU,202301,107487.315,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,IRL,1.1569075724478184,120397.0,139288.201,120397.0,kg,8,4,120397.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,139288.201,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,120397.0,0,World,W00,372,Ireland,IRL,202301,139288.201,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,ISR,2.861017702186741,2881.0,8242.592,2881.0,kg,8,4,2881.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,8242.592,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2881.0,0,World,W00,376,Israel,ISR,202301,8242.592,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
2023-01-01,GBR,ITA,1.2836829394069618,11635.0,14935.651,11635.0,kg,8,4,11635.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,14935.651,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,11635.0,0,World,W00,380,Italy,ITA,202301,14935.651,kg,8,1,20230101,2023,826,United Kingdom,GBR,C,export
