date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,IND,W00,0.4740703673283993,123394.652,58497.748,123394.652,kg,8,6,123370.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,58497.748,M,0.0,True,False,False,True,True,True,True,False,6,0,0,TOTAL MOT,123394.652,0,World,W00,0,World,W00,202301,58497.748,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,AUS,10.00744,50.0,500.372,50.0,kg,8,6,50.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,500.372,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,50.0,0,World,W00,36,Australia,AUS,202301,500.372,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,LKA,0.47405509288917363,7.805,3.7,7.805,kg,8,6,0.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,3.7,M,0.0,True,False,False,True,True,True,True,False,6,0,0,TOTAL MOT,7.805,0,World,W00,144,Sri Lanka,LKA,202301,3.7,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,MDV,0.21701492537313433,201.0,43.62,201.0,kg,8,6,201.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,43.62,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,201.0,0,World,W00,462,Maldives,MDV,202301,43.62,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,NPL,0.47405912382761484,16.846,7.986,16.846,kg,8,6,0.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,7.986,M,0.0,True,False,False,True,True,True,True,False,6,0,0,TOTAL MOT,16.846,0,World,W00,524,Nepal,NPL,202301,7.986,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,PHL,7.2658305084745765,118.0,857.368,118.0,kg,8,6,118.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,857.368,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,118.0,0,World,W00,608,Philippines,PHL,202301,857.368,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,QAT,4.995,1.0,4.995,1.0,kg,8,6,1.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,4.995,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,1.0,0,World,W00,634,Qatar,QAT,202301,4.995,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,ESP,4.393587,2000.0,8787.174,2000.0,kg,8,6,2000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,8787.174,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,2000.0,0,World,W00,724,Spain,ESP,202301,8787.174,kg,8,1,20230101,2023,699,India,IND,C,export
2023-01-01,IND,ARE,0.39911184297520663,121000.0,48292.533,121000.0,kg,8,6,121000.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,48292.533,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,121000.0,0,World,W00,784,United Arab Emirates,ARE,202301,48292.533,kg,8,1,20230101,2023,699,India,IND,C,export
2023-02-01,IND,W00,0.6210299013787589,82538.0,51258.566,82538.0,kg,8,6,82538.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,51258.566,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,82538.0,0,World,W00,0,World,W00,202302,51258.566,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,LKA,4.134,2.0,8.268,2.0,kg,8,6,2.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,8.268,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,2.0,0,World,W00,144,Sri Lanka,LKA,202302,8.268,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,COL,6.587,9.0,59.283,9.0,kg,8,6,9.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,59.283,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,9.0,0,World,W00,170,Colombia,COL,202302,59.283,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,COD,4.116,1.0,4.116,1.0,kg,8,6,1.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,4.116,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,1.0,0,World,W00,180,Dem. Rep. of the Congo,COD,202302,4.116,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,MOZ,5.278,1.0,5.278,1.0,kg,8,6,1.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,5.278,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,1.0,0,World,W00,508,Mozambique,MOZ,202302,5.278,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,NPL,12.2028,5.0,61.014,5.0,kg,8,6,5.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,61.014,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,5.0,0,World,W00,524,Nepal,NPL,202302,61.014,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,NLD,71.95754545454545,11.0,791.533,11.0,kg,8,6,11.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,791.533,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,11.0,0,World,W00,528,Netherlands,NLD,202302,791.533,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,PAN,7.8486666666666665,6.0,47.092,6.0,kg,8,6,6.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,47.092,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,6.0,0,World,W00,591,Panama,PAN,202302,47.092,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,ZAF,12.796,1.0,12.796,1.0,kg,8,6,1.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,12.796,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,1.0,0,World,W00,710,South Africa,ZAF,202302,12.796,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,ARE,0.6091106909090909,82500.0,50251.632,82500.0,kg,8,6,82500.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,50251.632,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,82500.0,0,World,W00,784,United Arab Emirates,ARE,202302,50251.632,kg,8,2,20230201,2023,699,India,IND,C,export
2023-02-01,IND,UGA,8.777,2.0,17.554,2.0,kg,8,6,2.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,17.554,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,2.0,0,World,W00,800,Uganda,UGA,202302,17.554,kg,8,2,20230201,2023,699,India,IND,C,export
2023-03-01,IND,W00,0.9614269893823496,52554.0,50526.834,52554.0,kg,8,6,52554.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,50526.834,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,52554.0,0,World,W00,0,World,W00,202303,50526.834,kg,8,3,20230301,2023,699,India,IND,C,export
2023-03-01,IND,BGD,4.581033333333334,30.0,137.431,30.0,kg,8,6,30.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,137.431,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,30.0,0,World,W00,50,Bangladesh,BGD,202303,137.431,kg,8,3,20230301,2023,699,India,IND,C,export
2023-03-01,IND,LKA,10.1045,2.0,20.209,2.0,kg,8,6,2.0,kg,8,,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,X,Export,20.209,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,2.0,0,World,W00,144,Sri Lanka,LKA,202303,20.209,kg,8,3,20230301,2023,699,India,IND,C,export
