date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,SWE,W00,0.4053387609783969,6614252.697,2681012.993,6614252.697,kg,8,4,0.0,N/A,-1,2681012.993,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,6614252.697,0,World,W00,0,World,W00,202301,2681012.993,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,AUS,1.3640454222853087,211.35,288.291,211.35,kg,8,4,0.0,N/A,-1,288.291,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,211.35,0,World,W00,36,Australia,AUS,202301,288.291,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,AUT,0.3323358125,48000.0,15952.119,48000.0,kg,8,4,48000.0,kg,8,15952.119,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,48000.0,0,World,W00,40,Austria,AUT,202301,15952.119,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,BEL,0.32513099943582485,23645.14,7687.768,23645.14,kg,8,4,0.0,N/A,-1,7687.768,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,23645.14,0,World,W00,56,Belgium,BEL,202301,7687.768,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,CHN,0.21785960425848339,441.096,96.097,441.096,kg,8,4,0.0,N/A,-1,96.097,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,441.096,0,World,W00,156,China,CHN,202301,96.097,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,CZE,0.4779227550273139,2412.869,1153.165,2412.869,kg,8,4,0.0,N/A,-1,1153.165,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,2412.869,0,World,W00,203,Czechia,CZE,202301,1153.165,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,DNK,1.9732368985326767,179070.763,353349.037,179070.763,kg,8,4,0.0,N/A,-1,353349.037,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,179070.763,0,World,W00,208,Denmark,DNK,202301,353349.037,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,FIN,0.33074820597322346,1942000.0,642313.016,1942000.0,kg,8,4,1942000.0,kg,8,642313.016,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1942000.0,0,World,W00,246,Finland,FIN,202301,642313.016,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,FRA,1.4854149233975684,10156.923,15087.245,10156.923,kg,8,4,0.0,N/A,-1,15087.245,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,10156.923,0,World,W00,251,France,FRA,202301,15087.245,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,DEU,0.5941734561498079,1677811.933,996911.315,1677811.933,kg,8,4,0.0,N/A,-1,996911.315,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,1677811.933,0,World,W00,276,Germany,DEU,202301,996911.315,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,IRL,0.2623615460430221,366.277,96.097,366.277,kg,8,4,0.0,N/A,-1,96.097,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,366.277,0,World,W00,372,Ireland,IRL,202301,96.097,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,JPN,1.3640448481273588,1268.102,1729.748,1268.102,kg,8,4,0.0,N/A,-1,1729.748,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,1268.102,0,World,W00,392,Japan,JPN,202301,1729.748,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,NLD,1.3249897502217236,4931.814,6534.603,4931.814,kg,8,4,0.0,N/A,-1,6534.603,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,4931.814,0,World,W00,528,Netherlands,NLD,202301,6534.603,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
2023-01-01,SWE,NOR,0.23136993466353675,2556000.0,591381.553,2556000.0,kg,8,4,2556000.0,kg,8,591381.553,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2556000.0,0,World,W00,579,Norway,NOR,202301,591381.553,kg,8,1,20230101,2023,752,Sweden,SWE,C,import
