date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,USA,W00,0.6966587256239527,26467205.996,18438610.0,26467205.996,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,18438610.0,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,26467205.996,0,World,W00,0,World,W00,202301,18438610.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,ARG,1.0921630440115795,163048.0,178075.0,163048.0,kg,8,4,163048.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,178075.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,163048.0,0,World,W00,32,Argentina,ARG,202301,178075.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,AUS,328.0,16.0,5248.0,16.0,kg,8,4,16.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,5248.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,16.0,0,World,W00,36,Australia,AUS,202301,5248.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,BEL,1.8696939588212564,253626.0,474203.0,253626.0,kg,8,4,253626.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,474203.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,253626.0,0,World,W00,56,Belgium,BEL,202301,474203.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,BRA,1.117898734177215,197500.0,220785.0,197500.0,kg,8,4,197500.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,220785.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,197500.0,0,World,W00,76,Brazil,BRA,202301,220785.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,CAN,0.6276526747740115,9787668.0,6143256.0,9787668.0,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,6143256.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,9787668.0,0,World,W00,124,Canada,CAN,202301,6143256.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,CHL,0.35189154164382197,40126.0,14120.0,40126.0,kg,8,4,40126.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,14120.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,40126.0,0,World,W00,152,Chile,CHL,202301,14120.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,CHN,5.154154642989271,135150.0,696584.0,135150.0,kg,8,4,135150.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,696584.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,135150.0,0,World,W00,156,China,CHN,202301,696584.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,COL,1.381095420781977,61255.0,84599.0,61255.0,kg,8,4,61255.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,84599.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,61255.0,0,World,W00,170,Colombia,COL,202301,84599.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,CRI,6.194217939214233,1349.0,8356.0,1349.0,kg,8,4,1349.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,8356.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1349.0,0,World,W00,188,Costa Rica,CRI,202301,8356.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,DOM,1.0424956114686952,27344.0,28506.0,27344.0,kg,8,4,27344.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,28506.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,27344.0,0,World,W00,214,Dominican Rep.,DOM,202301,28506.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,ECU,1.1878128227536346,25174.0,29902.0,25174.0,kg,8,4,25174.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,29902.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,25174.0,0,World,W00,218,Ecuador,ECU,202301,29902.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,GNQ,7.862903225806452,496.0,3900.0,496.0,kg,8,4,496.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3900.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,496.0,0,World,W00,226,Equatorial Guinea,GNQ,202301,3900.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,FRA,5.810050957749894,36058.892,209504.0,36058.892,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,209504.0,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,36058.892,0,World,W00,251,France,FRA,202301,209504.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,DEU,2.8694719227748244,175694.0,504149.0,175694.0,kg,8,4,175694.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,504149.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,175694.0,0,World,W00,276,Germany,DEU,202301,504149.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,GTM,2.4910364145658264,7140.0,17786.0,7140.0,kg,8,4,7140.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,17786.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,7140.0,0,World,W00,320,Guatemala,GTM,202301,17786.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,IDN,0.8128469468675654,20176.0,16400.0,20176.0,kg,8,4,20176.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,16400.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,20176.0,0,World,W00,360,Indonesia,IDN,202301,16400.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,IRL,36.24284687275342,20865.0,756207.0,20865.0,kg,8,4,20865.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,756207.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,20865.0,0,World,W00,372,Ireland,IRL,202301,756207.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,ISR,8.208021112012299,82607.0,678040.0,82607.0,kg,8,4,82607.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,678040.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,82607.0,0,World,W00,376,Israel,ISR,202301,678040.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,ITA,0.8999952127914214,62667.0,56400.0,62667.0,kg,8,4,62667.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,56400.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,62667.0,0,World,W00,380,Italy,ITA,202301,56400.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,JPN,0.5793485989606733,282683.0,163772.0,282683.0,kg,8,4,282683.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,163772.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,282683.0,0,World,W00,392,Japan,JPN,202301,163772.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,KOR,0.6397901980738206,3179128.105,2033975.0,3179128.105,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2033975.0,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,3179128.105,0,World,W00,410,Rep. of Korea,KOR,202301,2033975.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,MYS,5.370632811731129,20322.0,109142.0,20322.0,kg,8,4,20322.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,109142.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,20322.0,0,World,W00,458,Malaysia,MYS,202301,109142.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,MEX,0.2557472753191919,10654092.0,2724755.0,10654092.0,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2724755.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,10654092.0,0,World,W00,484,Mexico,MEX,202301,2724755.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,S19,10.339132366438095,171063.0,1768643.0,171063.0,kg,8,4,171063.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1768643.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,171063.0,0,World,W00,490,"Other Asia, nes",S19,202301,1768643.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,NZL,45.48247422680412,485.0,22059.0,485.0,kg,8,4,485.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,22059.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,485.0,0,World,W00,554,New Zealand,NZL,202301,22059.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,NGA,1.8200113378684808,17640.0,32105.0,17640.0,kg,8,4,17640.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,32105.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,17640.0,0,World,W00,566,Nigeria,NGA,202301,32105.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,PAN,1.9001893427103056,3697.0,7025.0,3697.0,kg,8,4,3697.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,7025.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,3697.0,0,World,W00,591,Panama,PAN,202301,7025.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,PRY,14.8,200.0,2960.0,200.0,kg,8,4,200.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2960.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,200.0,0,World,W00,600,Paraguay,PRY,202301,2960.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,PER,0.63792198443288,66679.0,42536.0,66679.0,kg,8,4,66679.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,42536.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,66679.0,0,World,W00,604,Peru,PER,202301,42536.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,PHL,0.44331082713166703,86939.0,38541.0,86939.0,kg,8,4,86939.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,38541.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,86939.0,0,World,W00,608,Philippines,PHL,202301,38541.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,POL,10.073580246913581,2025.0,20399.0,2025.0,kg,8,4,2025.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,20399.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2025.0,0,World,W00,616,Poland,POL,202301,20399.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,ROU,15.230706410779911,2449.0,37300.0,2449.0,kg,8,4,2449.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,37300.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2449.0,0,World,W00,642,Romania,ROU,202301,37300.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,IND,0.2416820641501775,379391.0,91692.0,379391.0,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,91692.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,379391.0,0,World,W00,699,India,IND,202301,91692.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,SGP,7.146851427956923,65093.0,465210.0,65093.0,kg,8,4,65093.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,465210.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,65093.0,0,World,W00,702,Singapore,SGP,202301,465210.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,VNM,31.62,200.0,6324.0,200.0,kg,8,4,200.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,6324.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,200.0,0,World,W00,704,Viet Nam,VNM,202301,6324.0,kg,8,1,20230101,2023,842,USA,USA,C,export
2023-01-01,USA,ZAF,0.5999645515774548,5642.0,3385.0,5642.0,kg,8,4,5642.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3385.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5642.0,0,World,W00,710,South Africa,ZAF,202301,3385.0,kg,8,1,20230101,2023,842,USA,USA,C,export
