date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,CAN,W00,0.36248631904749923,10011876.0,3629168.078,10011876.0,kg,8,4,10011876.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3629168.078,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,10011876.0,0,World,W00,0,World,W00,202401,3629168.078,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,CHN,0.24109958506224066,241.0,58.105,241.0,kg,8,4,241.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,58.105,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,241.0,0,World,W00,156,China,CHN,202401,58.105,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,CUB,71.514,1.0,71.514,1.0,kg,8,4,1.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,71.514,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1.0,0,World,W00,192,Cuba,CUB,202401,71.514,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,DNK,45.00350115005477,18260.0,821763.931,18260.0,kg,8,4,18260.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,821763.931,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,18260.0,0,World,W00,208,Denmark,DNK,202401,821763.931,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,FRA,1.7381666666666666,12.0,20.858,12.0,kg,8,4,12.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,20.858,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,12.0,0,World,W00,251,France,FRA,202401,20.858,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,MEX,0.2222258305695608,104326.0,23183.932,104326.0,kg,8,4,104326.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,23183.932,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,104326.0,0,World,W00,484,Mexico,MEX,202401,23183.932,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,IND,0.24182835820895524,268.0,64.81,268.0,kg,8,4,268.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,64.81,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,268.0,0,World,W00,699,India,IND,202401,64.81,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,VNM,1.280375,32.0,40.972,32.0,kg,8,4,32.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,40.972,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,32.0,0,World,W00,704,Viet Nam,VNM,202401,40.972,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,TUR,2.234857142857143,7.0,15.644,7.0,kg,8,4,7.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,15.644,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,7.0,0,World,W00,792,Türkiye,TUR,202401,15.644,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-01-01,CAN,USA,0.2815274149994403,9888729.0,2783948.313,9888729.0,kg,8,4,9888729.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2783948.313,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,9888729.0,0,World,W00,842,USA,USA,202401,2783948.313,kg,8,1,20240101,2024,124,Canada,CAN,C,export
2024-02-01,CAN,W00,0.5521487048646502,9627681.0,5315911.595,9627681.0,kg,8,4,9627681.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,5315911.595,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,9627681.0,0,World,W00,0,World,W00,202402,5315911.595,kg,8,2,20240201,2024,124,Canada,CAN,C,export
