date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,FRA,W00,0.9430858935233649,759794.446,716551.424,759794.446,kg,8,6,0.0,N/A,-1,716551.424,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,True,True,True,False,6,0,0,TOTAL MOT,759794.446,0,World,W00,0,World,W00,202401,716551.424,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,W00,1.059176224660197,923991.0,978669.299,923991.0,kg,8,6,923991.0,kg,8,978669.299,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,923991.0,0,World,W00,0,World,W00,202402,978669.299,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,USA,136.8595,2.0,273.719,2.0,kg,8,6,2.0,kg,8,273.719,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,2.0,0,World,W00,842,USA,USA,202401,273.719,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,USA,112.92470370370371,54.0,6097.934,54.0,kg,8,6,54.0,kg,8,6097.934,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,54.0,0,World,W00,842,USA,USA,202402,6097.934,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,CHN,0.5779722272727272,22000.0,12715.389,22000.0,kg,8,6,22000.0,kg,8,12715.389,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,22000.0,0,World,W00,156,China,CHN,202401,12715.389,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,CHN,0.6263676443418014,43300.0,27121.719,43300.0,kg,8,6,43300.0,kg,8,27121.719,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,43300.0,0,World,W00,156,China,CHN,202402,27121.719,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,ESP,1.0838656061653986,101210.0,109698.038,101210.0,kg,8,6,101210.0,kg,8,109698.038,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,101210.0,0,World,W00,724,Spain,ESP,202401,109698.038,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,ESP,0.6558390808840231,352208.0,230991.771,352208.0,kg,8,6,352208.0,kg,8,230991.771,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,352208.0,0,World,W00,724,Spain,ESP,202402,230991.771,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,S19,0.745775,24000.0,17898.6,24000.0,kg,8,6,24000.0,kg,8,17898.6,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,24000.0,0,World,W00,490,"Other Asia, nes",S19,202401,17898.6,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,S19,0.7226512288135593,23600.0,17054.569,23600.0,kg,8,6,23600.0,kg,8,17054.569,H6,HS,281511,Sodium hydroxide (caustic soda); solid,C00,TOTAL CPC,M,Import,,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,23600.0,0,World,W00,490,"Other Asia, nes",S19,202402,17054.569,kg,8,2,20240201,2024,251,France,FRA,C,import
