date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,FRA,W00,0.5764419203682477,17425106.461,10044561.831,17425106.461,kg,8,4,0.0,N/A,-1,10044561.831,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,17425106.461,0,World,W00,0,World,W00,202401,10044561.831,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,W00,0.42286234475070184,18136461.615,7669226.684,18136461.615,kg,8,4,0.0,N/A,-1,7669226.684,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,18136461.615,0,World,W00,0,World,W00,202402,7669226.684,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,IND,1.4972578536231018,184469.0,276197.659,184469.0,kg,8,4,184469.0,kg,8,276197.659,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,184469.0,0,World,W00,699,India,IND,202401,276197.659,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,IND,0.28219180541675837,531351.0,149942.898,531351.0,kg,8,4,531351.0,kg,8,149942.898,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,531351.0,0,World,W00,699,India,IND,202402,149942.898,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,USA,20.90092067574518,5523.443,115445.044,5523.443,kg,8,4,0.0,N/A,-1,115445.044,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,5523.443,0,World,W00,842,USA,USA,202401,115445.044,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,USA,9.750240151050887,27213.081,265334.075,27213.081,kg,8,4,0.0,N/A,-1,265334.075,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,27213.081,0,World,W00,842,USA,USA,202402,265334.075,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,CHN,1.0090504921869623,610134.0,615656.013,610134.0,kg,8,4,610134.0,kg,8,615656.013,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,610134.0,0,World,W00,156,China,CHN,202401,615656.013,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,CHN,0.32118136079753606,1576355.0,506295.844,1576355.0,kg,8,4,1576355.0,kg,8,506295.844,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1576355.0,0,World,W00,156,China,CHN,202402,506295.844,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,DNK,1.192308225508318,2164.0,2580.155,2164.0,kg,8,4,2164.0,kg,8,2580.155,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2164.0,0,World,W00,208,Denmark,DNK,202401,2580.155,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,DNK,1.2236747859181731,5255.0,6430.411,5255.0,kg,8,4,5255.0,kg,8,6430.411,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5255.0,0,World,W00,208,Denmark,DNK,202402,6430.411,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,BRA,2.30181256,25000.0,57545.314,25000.0,kg,8,4,25000.0,kg,8,57545.314,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,25000.0,0,World,W00,76,Brazil,BRA,202401,57545.314,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-01-01,FRA,CHE,5.2451595795401404,75864.174,397919.699,75864.174,kg,8,4,0.0,N/A,-1,397919.699,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,75864.174,0,World,W00,757,Switzerland,CHE,202401,397919.699,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,CHE,0.36311701920709716,4878.353,1771.413,4878.353,kg,8,4,0.0,N/A,-1,1771.413,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,4878.353,0,World,W00,757,Switzerland,CHE,202402,1771.413,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,ESP,0.22466813840818303,5128165.0,1152135.284,5128165.0,kg,8,4,5128165.0,kg,8,1152135.284,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5128165.0,0,World,W00,724,Spain,ESP,202401,1152135.284,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,ESP,0.2049624686374942,4968911.0,1018440.265,4968911.0,kg,8,4,4968911.0,kg,8,1018440.265,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,4968911.0,0,World,W00,724,Spain,ESP,202402,1018440.265,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,HUN,0.5109056666666667,12000.0,6130.868,12000.0,kg,8,4,12000.0,kg,8,6130.868,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,12000.0,0,World,W00,348,Hungary,HUN,202401,6130.868,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-01-01,FRA,LUX,5.193401557242351,25558.0,132732.957,25558.0,kg,8,4,25558.0,kg,8,132732.957,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,25558.0,0,World,W00,442,Luxembourg,LUX,202401,132732.957,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,LUX,10.685736600714629,18751.0,200368.247,18751.0,kg,8,4,18751.0,kg,8,200368.247,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,18751.0,0,World,W00,442,Luxembourg,LUX,202402,200368.247,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,SVK,2.2685214376680345,7067.0,16031.641,7067.0,kg,8,4,7067.0,kg,8,16031.641,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,7067.0,0,World,W00,703,Slovakia,SVK,202401,16031.641,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,EGY,0.5117410954141779,63.282,32.384,63.282,kg,8,4,0.0,N/A,-1,32.384,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,63.282,0,World,W00,818,Egypt,EGY,202402,32.384,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,MEX,1.3439671770833335,96000.0,129020.849,96000.0,kg,8,4,96000.0,kg,8,129020.849,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,96000.0,0,World,W00,484,Mexico,MEX,202401,129020.849,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,MEX,0.889037318926126,72001.0,64011.576,72001.0,kg,8,4,72001.0,kg,8,64011.576,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,72001.0,0,World,W00,484,Mexico,MEX,202402,64011.576,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,POL,2.0525671059232344,326916.0,671017.028,326916.0,kg,8,4,326916.0,kg,8,671017.028,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,326916.0,0,World,W00,616,Poland,POL,202401,671017.028,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,POL,1.6210043706580006,274787.0,445430.928,274787.0,kg,8,4,274787.0,kg,8,445430.928,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,274787.0,0,World,W00,616,Poland,POL,202402,445430.928,kg,8,2,20240201,2024,251,France,FRA,C,import
