date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,FRA,W00,0.4850773785657706,204514.0,99205.115,204514.0,kg,8,6,81809.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,99205.115,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,204514.0,0,World,W00,0,World,W00,202401,99205.115,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,DEU,0.4709862031893926,27905.0,13142.87,27905.0,kg,8,6,985.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,13142.87,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,27905.0,0,World,W00,276,Germany,DEU,202401,13142.87,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,ITA,0.6503674698795181,332.0,215.922,332.0,kg,8,6,179.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,215.922,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,332.0,0,World,W00,380,Italy,ITA,202401,215.922,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,NLD,1.1822429906542056,107.0,126.5,107.0,kg,8,6,81.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,126.5,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,107.0,0,World,W00,528,Netherlands,NLD,202401,126.5,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,NCL,11.9955,2.0,23.991,2.0,kg,8,6,1.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,23.991,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,2.0,0,World,W00,540,New Caledonia,NCL,202401,23.991,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,PRT,6.543,1.0,6.543,1.0,kg,8,6,1.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,6.543,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,1.0,0,World,W00,620,Portugal,PRT,202401,6.543,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,ESP,1.2371444859445646,5087.0,6293.354,5087.0,kg,8,6,3148.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,6293.354,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,5087.0,0,World,W00,724,Spain,ESP,202401,6293.354,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,CHE,0.4513582850041425,168980.0,76270.523,168980.0,kg,8,6,76364.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,76270.523,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,168980.0,0,World,W00,757,Switzerland,CHE,202401,76270.523,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-01-01,FRA,GBR,1.4882914285714284,2100.0,3125.412,2100.0,kg,8,6,1050.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,3125.412,M,0.0,False,False,False,True,False,True,False,True,0,0,0,TOTAL MOT,2100.0,0,World,W00,826,United Kingdom,GBR,202401,3125.412,kg,8,1,20240101,2024,251,France,FRA,C,export
2024-02-01,FRA,W00,0.5640846454034304,562724.0,317423.968,562724.0,kg,8,6,238861.0,kg K2O,32,,H6,HS,310420,"Fertilizers, mineral or chemical; potassic, potassium chloride",C00,TOTAL CPC,X,Export,317423.968,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,562724.0,0,World,W00,0,World,W00,202402,317423.968,kg,8,2,20240201,2024,251,France,FRA,C,export
