date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,IND,AUT,0.6708499,20000.0,13416.998,20000.0,kg,8,4,20000.0,kg,8,13416.998,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,20000.0,0,World,W00,40,Austria,AUT,202401,13416.998,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,BEL,4.708698516011455,19205.0,90430.555,19205.0,kg,8,4,19205.0,kg,8,90430.555,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,19205.0,0,World,W00,56,Belgium,BEL,202401,90430.555,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,CHN,0.3407958055927439,5309308.0,1809389.897,5309308.0,kg,8,4,5309308.0,kg,8,1809389.897,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5309308.0,0,World,W00,156,China,CHN,202401,1809389.897,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,DEU,1.7422893237651669,100054.0,174323.016,100054.0,kg,8,4,100054.0,kg,8,174323.016,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,100054.0,0,World,W00,276,Germany,DEU,202401,174323.016,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,IRL,152.32053520881306,1962.449,298921.282,1962.449,kg,8,4,0.0,N/A,-1,298921.282,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,1962.449,0,World,W00,372,Ireland,IRL,202401,298921.282,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,ITA,1.7822468091603052,65500.0,116737.166,65500.0,kg,8,4,65500.0,kg,8,116737.166,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,65500.0,0,World,W00,380,Italy,ITA,202401,116737.166,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,JPN,3.188578519529057,89150.159,284262.282,89150.159,kg,8,4,0.0,N/A,-1,284262.282,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,89150.159,0,World,W00,392,Japan,JPN,202401,284262.282,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,LTU,101.42693333333334,15.0,1521.404,15.0,kg,8,4,15.0,kg,8,1521.404,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,15.0,0,World,W00,440,Lithuania,LTU,202401,1521.404,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,MYS,3.865699159053446,71586.0,276729.94,71586.0,kg,8,4,71586.0,kg,8,276729.94,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,71586.0,0,World,W00,458,Malaysia,MYS,202401,276729.94,kg,8,1,20240101,2024,699,India,IND,C,import
2024-01-01,IND,SGP,0.09323825000000001,52000.0,4848.389,52000.0,kg,8,4,52000.0,kg,8,4848.389,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,52000.0,0,World,W00,702,Singapore,SGP,202401,4848.389,kg,8,1,20240101,2024,699,India,IND,C,import
