date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind,hs_code
2024-01-01,IND,W00,0.5617659741859402,2973031.0,1670147.656,2973031.0,kg,8,6,2973031.0,kg,8,1670147.656,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,2973031.0,0,World,W00,0,World,W00,202401,1670147.656,kg,8,1,20240101,2024,699,India,IND,C,import,310430
2024-01-01,IND,DEU,0.48647297827803465,675031.0,328384.341,675031.0,kg,8,6,675031.0,kg,8,328384.341,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,675031.0,0,World,W00,276,Germany,DEU,202401,328384.341,kg,8,1,20240101,2024,699,India,IND,C,import,310430
2024-01-01,IND,IDN,0.6105120313390313,351000.0,214289.723,351000.0,kg,8,6,351000.0,kg,8,214289.723,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,351000.0,0,World,W00,360,Indonesia,IDN,202401,214289.723,kg,8,1,20240101,2024,699,India,IND,C,import,310430
2024-01-01,IND,S19,0.5850465701986755,1510000.0,883420.321,1510000.0,kg,8,6,1510000.0,kg,8,883420.321,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,1510000.0,0,World,W00,490,"Other Asia, nes",S19,202401,883420.321,kg,8,1,20240101,2024,699,India,IND,C,import,310430
2024-01-01,IND,SAU,0.6334120080000001,125000.0,79176.501,125000.0,kg,8,6,125000.0,kg,8,79176.501,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,125000.0,0,World,W00,682,Saudi Arabia,SAU,202401,79176.501,kg,8,1,20240101,2024,699,India,IND,C,import,310430
2024-01-01,IND,UZB,0.5284511858974359,312000.0,164876.77,312000.0,kg,8,6,312000.0,kg,8,164876.77,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,312000.0,0,World,W00,860,Uzbekistan,UZB,202401,164876.77,kg,8,1,20240101,2024,699,India,IND,C,import,310430
2024-02-01,IND,W00,0.5932177384216057,4277968.0,2537766.502,4277968.0,kg,8,6,4277968.0,kg,8,2537766.502,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,4277968.0,0,World,W00,0,World,W00,202402,2537766.502,kg,8,2,20240201,2024,699,India,IND,C,import,310430
2024-02-01,IND,BEL,0.6685307671428572,700000.0,467971.537,700000.0,kg,8,6,700000.0,kg,8,467971.537,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,700000.0,0,World,W00,56,Belgium,BEL,202402,467971.537,kg,8,2,20240201,2024,699,India,IND,C,import,310430
2024-02-01,IND,CHN,0.6316439719989629,269990.0,170537.556,269990.0,kg,8,6,269990.0,kg,8,170537.556,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,269990.0,0,World,W00,156,China,CHN,202402,170537.556,kg,8,2,20240201,2024,699,India,IND,C,import,310430
2024-02-01,IND,FIN,0.5737409523809525,420000.0,240971.2,420000.0,kg,8,6,420000.0,kg,8,240971.2,H6,HS,310430,"Fertilizers, mineral or chemical; potassic, potassium sulphate",C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,True,False,True,False,False,0,0,0,TOTAL MOT,420000.0,0,World,W00,246,Finland,FIN,202402,240971.2,kg,8,2,20240201,2024,699,India,IND,C,import,310430
