date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind,hs_code
2024-01-01,SWE,W00,0.41547769365021003,4817138.618,2001413.643,4817138.618,kg,8,4,0.0,N/A,-1,2001413.643,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,4817138.618,0,World,W00,0,World,W00,202401,2001413.643,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,AUT,0.26320240425531916,47000.0,12370.513,47000.0,kg,8,4,47000.0,kg,8,12370.513,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,47000.0,0,World,W00,40,Austria,AUT,202401,12370.513,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,BEL,0.9527391289351745,39662.536,37788.05,39662.536,kg,8,4,0.0,N/A,-1,37788.05,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,39662.536,0,World,W00,56,Belgium,BEL,202401,37788.05,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,CHN,0.5969165611530469,51000.525,30443.058,51000.525,kg,8,4,0.0,N/A,-1,30443.058,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,51000.525,0,World,W00,156,China,CHN,202401,30443.058,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,DNK,1.2975819373318875,83567.189,108435.275,83567.189,kg,8,4,0.0,N/A,-1,108435.275,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,83567.189,0,World,W00,208,Denmark,DNK,202401,108435.275,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,FIN,0.46042350907354346,1047000.0,482063.414,1047000.0,kg,8,4,1047000.0,kg,8,482063.414,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1047000.0,0,World,W00,246,Finland,FIN,202401,482063.414,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,FRA,0.3137699165898635,2464.089,773.157,2464.089,kg,8,4,0.0,N/A,-1,773.157,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,2464.089,0,World,W00,251,France,FRA,202401,773.157,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,DEU,1.2582907552806812,309068.464,388897.991,309068.464,kg,8,4,0.0,N/A,-1,388897.991,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,309068.464,0,World,W00,276,Germany,DEU,202401,388897.991,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,HKG,0.4831385757492439,1600.28,773.157,1600.28,kg,8,4,0.0,N/A,-1,773.157,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,1600.28,0,World,W00,344,"China, Hong Kong SAR",HKG,202401,773.157,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
2024-01-01,SWE,IRL,1.5463140000000002,4000.0,6185.256,4000.0,kg,8,4,4000.0,kg,8,6185.256,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,4000.0,0,World,W00,372,Ireland,IRL,202401,6185.256,kg,8,1,20240101,2024,752,Sweden,SWE,C,import,2833
