date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,TUR,W00,0.3719368853083923,27964836.0,10401154.0,27964836.0,kg,8,4,27964836.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,10401154.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,27964836.0,0,World,W00,0,World,W00,202401,10401154.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,AFG,5.1,5000.0,25500.0,5000.0,kg,8,4,5000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,25500.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5000.0,0,World,W00,4,Afghanistan,AFG,202401,25500.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,ALB,0.55,10000.0,5500.0,10000.0,kg,8,4,10000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,5500.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,10000.0,0,World,W00,8,Albania,ALB,202401,5500.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,DZA,0.380325,40000.0,15213.0,40000.0,kg,8,4,40000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,15213.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,40000.0,0,World,W00,12,Algeria,DZA,202401,15213.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,AGO,0.18084615384615385,52000.0,9404.0,52000.0,kg,8,4,52000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,9404.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,52000.0,0,World,W00,24,Angola,AGO,202401,9404.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,AZE,0.30097902097902096,39325.0,11836.0,39325.0,kg,8,4,39325.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,11836.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,39325.0,0,World,W00,31,Azerbaijan,AZE,202401,11836.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,ARG,0.37375,56800.0,21229.0,56800.0,kg,8,4,56800.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,21229.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,56800.0,0,World,W00,32,Argentina,ARG,202401,21229.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,AUS,0.16682916666666667,240000.0,40039.0,240000.0,kg,8,4,240000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,40039.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,240000.0,0,World,W00,36,Australia,AUS,202401,40039.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,AUT,0.19770740740740742,270000.0,53381.0,270000.0,kg,8,4,270000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,53381.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,270000.0,0,World,W00,40,Austria,AUT,202401,53381.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
2024-01-01,TUR,BGD,1.1036458333333334,1920.0,2119.0,1920.0,kg,8,4,1920.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2119.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1920.0,0,World,W00,50,Bangladesh,BGD,202401,2119.0,kg,8,1,20240101,2024,792,Türkiye,TUR,C,export
