Year,Customer Size,country,value,units,exchange_country,exchange_rate,exchange_units,usd_per_kwh
2008,Small,Austria,8.43219395,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.0460158821293457
2009,Small,Austria,10.065648270998093,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.06455435422278501
2010,Small,Austria,9.271721332617108,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.06003130814549201
2011,Small,Austria,9.35943428361784,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.05838571408673345
2012,Small,Austria,8.712116896283142,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.05497926859751645
2013,Small,Austria,8.980994472987952,pence_per_kwh,USA,1.5625,pound_per_currency,0.05747836462712289
2014,Small,Austria,7.954045352419336,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.04828105528918537
2015,Small,Austria,6.649622352872724,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.04348853018778761
2016,Small,Austria,7.251369023525806,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.05373264446432621
2017,Small,Austria,7.70486763678004,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.0598332591343551
2018,Small,Austria,8.169607784061707,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.06125112784532003
2019,Small,Austria,8.682624138835006,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.06803781550545947
2020,Small,Austria,9.214224092453716,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.08187072018243487
2021,Small,Austria,9.49577950550511,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.08164054426820587
2022,Small,Austria,13.842928008822733,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.11809728554469748
2023,Small,Austria,22.971627589038896,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.18488337347662898
2008,Medium,Austria,6.301455150000001,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.034388086795104904
2009,Medium,Austria,8.074714617066078,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.05178583371921224
2010,Medium,Austria,7.246577060662645,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.04691917335762943
2011,Medium,Austria,7.14649626707222,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.044581037178873115
2012,Medium,Austria,6.48309592356895,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.0409126595027011
2013,Medium,Austria,6.560540389208836,pence_per_kwh,USA,1.5625,pound_per_currency,0.041987458490936554
2014,Medium,Austria,5.803676399882361,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.03522831574728593
2015,Medium,Austria,4.711187936247222,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.030811169103056826
2016,Medium,Austria,4.6519526177562085,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.0344709688975735
2017,Medium,Austria,4.9729853143830205,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.038618433568726615
2018,Medium,Austria,5.449982960170816,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.04086090934493716
2019,Medium,Austria,6.265396601358752,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.04909620538854471
2020,Medium,Austria,6.461936462716487,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.05741594589706273
2021,Medium,Austria,7.377977882577274,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.0634326154670283
2022,Medium,Austria,14.812601497054974,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.12636979889966832
2023,Medium,Austria,19.398451225845328,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.15612525011364187
2008,Large,Austria,5.925284258333333,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.03233525979491188
2009,Large,Austria,7.388869850217459,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.04738728284310468
2010,Large,Austria,6.560087476949269,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.04247438190411668
2011,Large,Austria,6.465274087925367,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.04033145946125113
2012,Large,Austria,5.761027687395082,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.036355927312930456
2013,Large,Austria,5.639117236815504,pence_per_kwh,USA,1.5625,pound_per_currency,0.036090350315619225
2014,Large,Austria,4.985948007628224,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.03026470440630332
2015,Large,Austria,4.064664031764776,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.026582902767741636
2016,Large,Austria,4.219157673598725,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.03126395836136655
2017,Large,Austria,4.293322189842501,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.03334041170361728
2018,Large,Austria,4.831056063443861,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.03622054331019441
2019,Large,Austria,5.5107157222102,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.04318245885293841
2020,Large,Austria,5.890359504973759,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.052337339527112725
2021,Large,Austria,7.150513573854493,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.061476977180044794
2022,Large,Austria,15.029130546689796,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.12821705931936764
2023,Large,Austria,18.8180768212506,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.15145420199634765
2008,Very Large,Austria,5.37779735,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.029347532853310102
2009,Very Large,Austria,6.698302617148183,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.04295844521854281
2010,Very Large,Austria,6.1530201088545216,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.03983875624913678
2011,Very Large,Austria,6.026981411198638,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.03759731654895277
2012,Very Large,Austria,5.328216025354373,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.033624597040075005
2013,Very Large,Austria,5.163611048906182,pence_per_kwh,USA,1.5625,pound_per_currency,0.03304711071299957
2014,Very Large,Austria,4.3774904208508545,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.02657136685456469
2015,Very Large,Austria,3.6619283936749993,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.023949011694634495
2016,Very Large,Austria,3.797605331857641,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.02814025550906512
2017,Very Large,Austria,3.91794596515868,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.030425373576658712
2018,Very Large,Austria,4.406643517844854,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.033038536563143685
2019,Very Large,Austria,5.120212934070421,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.040122444250326954
2020,Very Large,Austria,5.355537942522565,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.04758531417504488
2021,Very Large,Austria,7.067093101473355,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.06075976457371178
2022,Very Large,Austria,15.331518589585354,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.1307968030718728
2023,Very Large,Austria,15.306170832064595,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.12318920318001207
2008,Small,Belgium,10.325790691666668,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.056349553885679825
2009,Small,Belgium,10.578445168949983,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.0678430914907175
2010,Small,Belgium,10.004752181367914,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.06477743879188085
2011,Small,Belgium,11.134088638428535,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.06945630431931983
2012,Small,Belgium,10.774639179430274,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.0679951599065377
2013,Small,Belgium,10.62870141617815,pence_per_kwh,USA,1.5625,pound_per_currency,0.06802368906354016
2014,Small,Belgium,10.044542429366278,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.06097037254625331
2015,Small,Belgium,8.884994861715207,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.05810786639561745
2016,Small,Belgium,9.82878532246147,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.0728312992394395
2017,Small,Belgium,10.328045687310095,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.08020392602338552
2018,Small,Belgium,9.533821497954172,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.07147923558397852
2019,Small,Belgium,10.23054325009285,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.08016744742607684
2020,Small,Belgium,9.936066442678067,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.08828447271092492
2021,Small,Belgium,10.625319484896814,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.09135183322945176
