temp,h2so4,na2so4,solid
60°C,79.32,3.3,-
60°C,79.48,3.57,-
60°C,78.69,3.2,-
60°C,78.6,15.93,-
60°C,77.78,16.6,-
60°C,73.55,11.33,-
60°C,67.79,7.9,-
60°C,65.66,8.1,nahso4
60°C,63.75,8.22,nahso4
60°C,55.36,13.27,nahso4
60°C,51.25,17.72,nahso4
60°C,42.53,31.11,nahso4
60°C,41.77,33.04,nahso4
60°C,35.05,33.34,na3h(so4)2
60°C,34.26,33.22,na3h(so4)2
60°C,29.87,37.0,na3h(so4)2
60°C,27.1,36.48,na3h(so4)2
60°C,22.14,36.73,na3h(so4)2
60°C,22.1,36.86,na3h(so4)2
60°C,19.0,37.03,na2so4
60°C,18.72,36.83,na2so4
60°C,14.71,34.26,na2so4
60°C,14.18,33.91,na2so4
60°C,13.13,33.7,na2so4
60°C,4.66,32.72,na2so4
60°C,,,none
