temp,h2so4,na2so4,solid
0°C,62.87,3.36,nahso4
0°C,62.6,3.14,
0°C,61.2,3.05,
0°C,60.0,2.79,
0°C,58.46,2.38,
0°C,57.5,2.11,
0°C,48.31,3.98,nahso4·h2o
0°C,37.25,7.67,
0°C,36.01,7.66,
0°C,34.59,9.62,
0°C,33.13,13.01,
0°C,32.73,13.88,
0°C,30.74,16.45,
0°C,29.95,18.67,
0°C,26.08,22.95,
0°C,24.13,25.7,
0°C,23.81,26.25,
0°C,22.66,27.85,
0°C,22.17,28.3,na3h(so4)2
0°C,21.52,23.01,na2so4·10h2o
0°C,21.59,20.01,
0°C,21.64,14.44,
0°C,19.92,10.43,
0°C,20.5,8.9,
0°C,14.75,7.9,
0°C,14.35,7.92,
0°C,6.74,5.98,
0°C,,,none
